Si (Silicon) - Palik

wavelength (microns), Im(eps)
0.458488, 1.19523
0.456414, 1.20594
0.4558, 1.20913
0.454359, 1.22097
0.4525, 1.23637
0.452323, 1.24484
0.450304, 1.34182
0.4492, 1.39524
0.448304, 1.39823
0.446321, 1.40488
0.446, 1.40596
0.444355, 1.47946
0.4428, 1.54948
0.442407, 1.55948
0.440476, 1.60894
0.4397, 1.62894
0.438562, 1.68688
0.436664, 1.78417
0.4366, 1.78747
0.434783, 1.79634
0.4335, 1.80264
0.432917, 1.82288
0.431068, 1.88746
0.4305, 1.90741
0.429234, 1.95227
0.4275, 2.01417
0.427416, 2.01702
0.425613, 2.07882
0.4246, 2.1138
0.423826, 2.16497
0.422053, 2.28284
0.4217, 2.30645
0.420295, 2.39982
0.4189, 2.49319
0.418552, 2.51054
0.416823, 2.59719
0.4161, 2.63364
0.415108, 2.69562
0.413408, 2.80262
0.4133, 2.80944
0.411721, 2.95891
0.4105, 3.07529
0.410048, 3.12077
0.408389, 3.28862
0.4078, 3.34847
0.406742, 3.43677
0.4052, 3.56636
0.405109, 3.57747
0.40349, 3.77721
0.4025, 3.90003
0.401883, 4.00108
0.400288, 4.26347
0.4, 4.31118
0.398707, 4.50597
0.3974, 4.70413
0.397138, 4.75987
0.395581, 5.09231
0.3949, 5.23853
0.394036, 5.46627
0.392504, 5.87284
0.3924, 5.90042
0.390983, 6.33756
0.3899, 6.67366
0.389474, 6.84411
0.387976, 7.44579
0.3875, 7.63812
0.38649, 8.11854
0.385016, 8.82468
0.385, 8.83218
0.383552, 9.75101
0.3827, 10.2951
0.3821, 10.7678
0.380658, 11.9091
0.3803, 12.1943
0.379228, 13.3207
0.378, 14.6187
0.377808, 14.8754
0.376399, 16.768
0.3757, 17.7118
0.375, 18.8552
0.373612, 21.1358
0.3734, 21.4848
0.372233, 23.6295
0.3712, 25.5405
0.370865, 26.1389
0.369507, 28.5786
0.369, 29.4946
0.368159, 30.8063
0.366821, 32.9065
0.3668, 32.9394
0.365492, 34.4368
0.3647, 35.3492
0.364173, 35.584
0.362864, 36.1705
0.3625, 36.3341
0.361564, 36.3147
0.3604, 36.2904
0.360273, 36.2488
0.358991, 35.8279
0.3583, 35.5998
0.357718, 35.3513
0.356455, 34.8087
0.3563, 34.742
0.3552, 34.2354
0.3542, 33.7722
0.353954, 33.6887
0.352717, 33.267
0.3522, 33.09
0.351488, 32.8961
0.350268, 32.5619
0.3502, 32.5432
0.349057, 32.2666
0.3483, 32.0827
0.347853, 32.0204
0.346658, 31.853
0.3463, 31.8026
0.345472, 31.745
0.3444, 31.6701
0.344293, 31.6642
0.343122, 31.6002
0.3425, 31.566
0.341959, 31.5446
0.340804, 31.4988
0.3406, 31.4906
0.339657, 31.4601
0.3388, 31.4322
0.338518, 31.4405
0.337386, 31.4739
0.3369, 31.4883
0.336262, 31.5118
0.335145, 31.5531
0.3351, 31.5547
0.334036, 31.5965
0.3333, 31.6254
0.332933, 31.6432
0.331839, 31.6965
0.3315, 31.713
0.330751, 31.7884
0.3297, 31.8947
0.32967, 31.8965
0.328597, 31.9614
0.328, 31.9977
0.32753, 32.0571
0.326471, 32.1917
0.3263, 32.2134
0.325418, 32.3275
0.3246, 32.4338
0.324372, 32.464
0.323332, 32.6017
0.3229, 32.6592
0.3223, 32.7757
0.321274, 32.9759
0.3212, 32.9902
0.320254, 33.1284
0.3195, 33.239
0.319241, 33.2984
0.318234, 33.53
0.3179, 33.6072
0.317233, 33.7626
0.3163, 33.9814
0.316239, 33.9957
0.315251, 34.2302
0.3147, 34.3617
0.31427, 34.4898
0.313294, 34.7814
0.3131, 34.8395
0.312324, 35.0881
0.3115, 35.3535
0.31136, 35.408
0.310403, 35.7833
0.31, 35.9417
0.309451, 36.1702
0.308505, 36.5656
0.3084, 36.6095
0.307564, 37.0122
0.3069, 37.3339
0.30663, 37.4771
0.305701, 37.9712
0.3054, 38.1319
0.304778, 38.4965
0.3039, 39.0132
0.30386, 39.0381
0.302948, 39.6064
0.3024, 39.9492
0.302041, 40.1898
0.301139, 40.7963
0.3009, 40.9581
0.300243, 41.4603
0.2995, 42.0316
0.299353, 42.1409
0.298467, 42.8008
0.298, 43.1506
0.297587, 43.48
0.296712, 44.1812
0.2966, 44.2714
0.295842, 44.8544
0.2952, 45.3509
0.294977, 45.4922
0.294118, 46.0401
0.2938, 46.2433
0.293263, 46.4398
0.292413, 46.7521
0.2924, 46.7569
0.291568, 46.7112
0.291, 46.6799
0.290728, 46.4923
0.289893, 45.9136
0.2897, 45.7794
0.289062, 45.0112
0.2883, 44.0879
0.288237, 43.9806
0.287416, 42.5813
0.287, 41.8694
0.2866, 41.1423
0.285788, 39.6623
0.2857, 39.5016
0.284981, 38.2814
0.2844, 37.2916
0.284178, 36.9475
0.28338, 35.7049
0.2831, 35.2671
0.282587, 34.5107
0.2818, 33.3466
0.281797, 33.343
0.281013, 32.2594
0.2805, 31.5482
0.280232, 31.1866
0.279456, 30.1347
0.2792, 29.7862
0.278684, 29.0688
0.278, 28.1124
0.277917, 27.9999
0.277154, 26.9633
0.2768, 26.4813
0.276394, 25.9933
0.275639, 25.081
0.2755, 24.912
0.274889, 24.1643
0.2743, 23.4415
0.274142, 23.2574
0.273399, 22.3908
0.2731, 22.0406
0.27266, 21.5704
0.271926, 20.7812
0.2719, 20.7537
0.271195, 20.0875
0.2707, 19.6182
0.270468, 19.4218
0.269745, 18.8083
0.2695, 18.5997
0.269026, 18.2083
0.2684, 17.6899
0.26831, 17.6303
0.267599, 17.1556
0.2672, 16.8885
0.266891, 16.698
0.266187, 16.2621
0.2661, 16.208
0.265487, 15.9019
0.2649, 15.6078
0.26479, 15.5565
0.264097, 15.2323
0.2638, 15.0928
0.263408, 14.9278
0.262722, 14.6383
0.2627, 14.629
0.26204, 14.3806
0.2616, 14.2145
0.261361, 14.132
0.260686, 13.8983
0.2605, 13.8338
0.260014, 13.6813
0.2594, 13.4877
0.259346, 13.4733
0.258681, 13.2962
0.2583, 13.1944
0.25802, 13.1214
0.257361, 12.9497
0.2572, 12.9074
0.256707, 12.7763
0.2562, 12.641
0.256055, 12.6108
0.255407, 12.4748
0.2551, 12.4101
0.254762, 12.3344
0.254121, 12.1901
0.2541, 12.1854
0.253483, 12.0671
0.253, 11.9743
0.252847, 11.9481
0.252215, 11.8393
0.252, 11.802
0.251587, 11.7297
0.251, 11.6266
0.250961, 11.6207
0.250338, 11.5278
0.25, 11.4771
0.249719, 11.4369
