SiO2 (Glass) - Palik

wavelength (microns), Re(eps)
0.460581, 2.14565
0.458488, 2.1461
0.456414, 2.14654
0.454359, 2.14698
0.452323, 2.14743
0.450304, 2.14787
0.448304, 2.14832
0.446321, 2.14876
0.444355, 2.14921
0.442407, 2.14965
0.440476, 2.1501
0.438562, 2.15054
0.436664, 2.15098
0.435835, 2.15118
0.434783, 2.15145
0.432917, 2.15193
0.431068, 2.15241
0.429234, 2.15289
0.427416, 2.15337
0.425613, 2.15385
0.423826, 2.15433
0.422053, 2.15481
0.420295, 2.15529
0.418552, 2.15577
0.416823, 2.15626
0.415108, 2.15674
0.413408, 2.15722
0.411721, 2.1577
0.410048, 2.15818
0.408389, 2.15866
0.406742, 2.15914
0.405109, 2.15962
0.404656, 2.15975
0.40349, 2.16014
0.401883, 2.16067
0.400288, 2.16121
0.398707, 2.16174
0.397138, 2.16228
0.395581, 2.16281
0.394036, 2.16335
0.392504, 2.16388
0.390983, 2.16442
0.389474, 2.16495
0.387976, 2.16549
0.38649, 2.16602
0.385016, 2.16656
0.383552, 2.16709
0.3821, 2.16763
0.380658, 2.16816
0.379228, 2.1687
0.377808, 2.16923
0.376399, 2.16977
0.375, 2.1703
0.373612, 2.17084
0.372233, 2.17137
0.370865, 2.17191
0.369507, 2.17244
0.368159, 2.17298
0.366821, 2.17351
0.365492, 2.17405
0.365015, 2.17424
0.364173, 2.17461
0.362864, 2.17518
0.361564, 2.17575
0.361051, 2.17598
0.360273, 2.17634
0.358991, 2.17693
0.357718, 2.17753
0.356455, 2.17812
0.3552, 2.17871
0.353954, 2.17931
0.352717, 2.1799
0.351488, 2.18049
0.350268, 2.18109
0.349057, 2.18168
0.347853, 2.18228
0.346658, 2.18287
0.34662, 2.18289
0.345472, 2.18349
0.344293, 2.18411
0.343122, 2.18472
0.341959, 2.18534
0.340804, 2.18596
0.340365, 2.1862
0.339657, 2.18659
0.338518, 2.18722
0.337386, 2.18786
0.336262, 2.18849
0.335145, 2.18912
0.334148, 2.18969
0.334036, 2.18975
0.332933, 2.1904
0.331839, 2.19104
0.330751, 2.19168
0.330259, 2.19197
0.32967, 2.19235
0.328597, 2.19304
0.32753, 2.19374
0.326471, 2.19443
0.325418, 2.19513
0.324372, 2.19583
0.323332, 2.19652
0.3223, 2.19722
0.321274, 2.19791
0.320254, 2.19861
0.319241, 2.1993
0.318234, 2.2
0.317233, 2.20069
0.316239, 2.20139
0.315251, 2.20208
0.31427, 2.20278
0.313294, 2.20347
0.312324, 2.20417
0.31136, 2.20486
0.310403, 2.20556
0.309451, 2.20626
0.308505, 2.20695
0.307564, 2.20765
0.30663, 2.20834
0.305701, 2.20904
0.304778, 2.20973
0.30386, 2.21043
0.302948, 2.21112
0.30215, 2.21173
0.302041, 2.21182
0.301139, 2.21258
0.300243, 2.21333
0.299353, 2.21408
0.298467, 2.21483
0.297587, 2.21558
0.296728, 2.21632
0.296712, 2.21633
0.295842, 2.21711
0.294977, 2.21789
0.294118, 2.21866
0.293263, 2.21944
0.292413, 2.22022
0.291568, 2.221
0.290728, 2.22177
0.289893, 2.22255
0.28936, 2.22305
0.289062, 2.22334
0.288237, 2.22415
0.287416, 2.22497
0.2866, 2.22578
0.285788, 2.22659
0.284981, 2.2274
0.284178, 2.22821
0.28338, 2.22903
0.282587, 2.22984
0.281797, 2.23065
0.281013, 2.23146
0.280347, 2.23216
0.280232, 2.23228
0.279456, 2.23313
0.278684, 2.23398
0.277917, 2.23482
0.277154, 2.23567
0.276394, 2.23652
0.275639, 2.23737
0.275278, 2.23778
0.274889, 2.23823
0.274142, 2.2391
0.273399, 2.23997
0.27266, 2.24084
0.271926, 2.24171
0.271195, 2.24258
0.270468, 2.24345
0.269885, 2.24415
0.269745, 2.24433
0.269026, 2.24523
0.26831, 2.24614
0.267599, 2.24704
0.266891, 2.24795
0.266187, 2.24885
0.265487, 2.24975
0.265204, 2.25012
0.26479, 2.2507
0.264097, 2.25167
0.263408, 2.25264
0.262722, 2.25361
0.26204, 2.25458
0.261361, 2.25555
0.260686, 2.25652
0.260014, 2.25749
0.259346, 2.25846
0.258681, 2.25943
0.25802, 2.2604
0.257361, 2.26137
0.256707, 2.26234
0.256055, 2.26331
0.255407, 2.26428
0.254762, 2.26525
0.254121, 2.26622
0.253483, 2.26719
0.252847, 2.26816
0.252215, 2.26913
0.251587, 2.2701
0.250961, 2.27107
0.250338, 2.27205
0.249719, 2.27302
0.249102, 2.27399
0.248489, 2.27496
0.248272, 2.2753
0.247879, 2.27599
0.247271, 2.27705
0.246667, 2.27811
0.246065, 2.27918
0.245467, 2.28024
0.244871, 2.28131
0.244278, 2.28237
0.243688, 2.28343
0.243101, 2.2845
0.242517, 2.28556
0.241935, 2.28663
0.241357, 2.28769
0.240781, 2.28875
0.240208, 2.28982
0.239938, 2.29032
0.239637, 2.2909
0.23907, 2.29201
0.238505, 2.29312
0.237942, 2.29422
0.237833, 2.29444
0.237382, 2.29537
0.236825, 2.29652
0.236271, 2.29768
0.235719, 2.29883
0.235169, 2.29999
0.234623, 2.30115
0.234078, 2.3023
0.233537, 2.30346
0.232997, 2.30461
0.232461, 2.30577
0.231926, 2.30692
0.231395, 2.30808
0.230865, 2.30923
0.230338, 2.31039
0.230209, 2.31067
0.229814, 2.31159
0.229291, 2.3128
0.228772, 2.31402
0.228254, 2.31523
0.227739, 2.31644
0.227226, 2.31766
0.226747, 2.3188
0.226716, 2.31888
0.226207, 2.32019
0.225702, 2.3215
0.225198, 2.32281
0.224696, 2.32412
0.224197, 2.32543
0.2237, 2.32674
0.223205, 2.32805
0.222713, 2.32936
0.222222, 2.33067
0.221734, 2.33198
0.221248, 2.33329
0.220764, 2.3346
0.220282, 2.33591
0.219802, 2.33722
0.219324, 2.33853
0.218849, 2.33984
0.218375, 2.34115
0.217903, 2.34246
0.217434, 2.34377
0.216966, 2.34508
0.216501, 2.34639
0.216037, 2.3477
0.215576, 2.34901
0.215116, 2.35032
0.214659, 2.35163
0.214438, 2.35227
0.214203, 2.35298
0.213856, 2.35405
0.213749, 2.35443
0.213297, 2.35604
0.212848, 2.35766
0.2124, 2.35928
0.211953, 2.3609
0.211509, 2.36251
0.211067, 2.36413
0.210626, 2.36575
0.210187, 2.36737
0.209751, 2.36898
0.209315, 2.3706
0.208882, 2.37222
0.208451, 2.37384
0.208021, 2.37545
0.207593, 2.37707
0.207167, 2.37869
0.206742, 2.3803
0.2066, 2.38085
0.20632, 2.38197
0.205899, 2.38366
0.205479, 2.38534
0.205062, 2.38703
0.204646, 2.38872
0.204232, 2.39041
0.203819, 2.39209
0.203408, 2.39378
0.202999, 2.39547
0.202592, 2.39716
0.202186, 2.39884
0.201781, 2.40053
0.201379, 2.40222
0.200978, 2.40391
0.200578, 2.40559
0.20018, 2.40728
0.199784, 2.40897
0.199389, 2.41066
0.198996, 2.41235
0.198604, 2.41403
0.1984, 2.41492
0.198214, 2.41586
0.197826, 2.41783
0.197439, 2.41981
0.197053, 2.42178
0.196669, 2.42376
0.196286, 2.42574
0.195905, 2.42771
0.195526, 2.42969
0.195148, 2.43166
0.194771, 2.43364
0.194396, 2.43561
0.194022, 2.43759
0.19365, 2.43957
0.193279, 2.44154
0.192909, 2.44352
0.192541, 2.44549
0.192175, 2.44747
0.191809, 2.44944
0.191445, 2.45142
0.191083, 2.45339
0.190722, 2.45537
0.1907, 2.45549
0.190362, 2.45769
0.190003, 2.46003
0.189646, 2.46238
0.189291, 2.46472
0.188936, 2.46706
0.188583, 2.4694
0.188231, 2.47175
0.187881, 2.47409
0.187532, 2.47643
0.187184, 2.47877
0.186837, 2.48112
0.186492, 2.48346
0.186148, 2.4858
0.185805, 2.48814
0.185464, 2.49049
0.185123, 2.49283
0.184784, 2.49517
0.184447, 2.49751
0.18411, 2.49986
0.183775, 2.5022
0.1837, 2.50272
0.183441, 2.5049
0.183108, 2.50769
0.182776, 2.51049
0.182446, 2.51329
0.182116, 2.51609
0.181788, 2.51889
0.181462, 2.52168
0.181136, 2.52448
0.180811, 2.52728
0.180488, 2.53008
0.180166, 2.53287
0.179844, 2.53567
0.179525, 2.53847
0.179206, 2.54127
0.178888, 2.54407
0.178571, 2.54686
0.178256, 2.54966
0.177942, 2.55246
0.177628, 2.55526
0.177316, 2.55806
0.1771, 2.56
0.177005, 2.56097
0.176695, 2.56414
0.176386, 2.56732
0.176079, 2.57049
0.175772, 2.57366
0.175466, 2.57684
0.175162, 2.58001
0.174858, 2.58318
0.174556, 2.58636
0.174254, 2.58953
0.173954, 2.5927
0.173655, 2.59588
0.173356, 2.59905
0.173059, 2.60223
0.172763, 2.6054
0.172467, 2.60857
0.1722, 2.61146
0.172173, 2.61176
0.17188, 2.61512
0.171588, 2.61848
0.171296, 2.62184
0.171006, 2.6252
0.170717, 2.62856
0.170428, 2.63192
0.170141, 2.63528
0.169855, 2.63864
0.169569, 2.642
0.169285, 2.64535
0.169001, 2.64871
0.168719, 2.65207
0.168437, 2.65543
0.168156, 2.65879
0.167877, 2.66215
0.167598, 2.66551
0.1675, 2.66669
0.16732, 2.66931
0.167043, 2.67336
0.166767, 2.6774
0.166492, 2.68144
0.166217, 2.68549
0.165944, 2.68953
0.165672, 2.69357
0.1654, 2.69762
0.165129, 2.70166
0.16486, 2.70571
0.164591, 2.70975
0.164323, 2.71379
0.164056, 2.71784
0.163789, 2.72188
0.163524, 2.72592
0.163259, 2.72997
0.1631, 2.73241
0.162996, 2.73431
0.162733, 2.73911
0.162471, 2.74391
0.16221, 2.74871
0.161949, 2.75351
0.16169, 2.75831
0.161431, 2.76311
0.161173, 2.76791
