Si (Silicon) - Palik

wavelength (microns), Re(eps)
0.466975, 20.3702
0.4661, 20.4305
0.464824, 20.5329
0.462693, 20.7051
0.4626, 20.7126
0.460581, 20.8751
0.4592, 20.987
0.458488, 21.0482
0.456414, 21.2276
0.4558, 21.2811
0.454359, 21.4137
0.4525, 21.5862
0.452323, 21.6029
0.450304, 21.7938
0.4492, 21.8989
0.448304, 21.9932
0.446321, 22.2032
0.446, 22.2373
0.444355, 22.4048
0.4428, 22.5644
0.442407, 22.6098
0.440476, 22.8341
0.4397, 22.9248
0.438562, 23.0635
0.436664, 23.2964
0.4366, 23.3043
0.434783, 23.5369
0.4335, 23.7022
0.432917, 23.7847
0.431068, 24.0481
0.4305, 24.1294
0.429234, 24.3147
0.4275, 24.5703
0.427416, 24.5839
0.425613, 24.8787
0.4246, 25.0456
0.423826, 25.1746
0.422053, 25.4718
0.4217, 25.5314
0.420295, 25.7869
0.4189, 26.0423
0.418552, 26.1115
0.416823, 26.4566
0.4161, 26.6019
0.415108, 26.8117
0.413408, 27.1739
0.4133, 27.1969
0.411721, 27.5562
0.4105, 27.836
0.410048, 27.9488
0.408389, 28.3653
0.4078, 28.5138
0.406742, 28.8195
0.4052, 29.2682
0.405109, 29.2941
0.40349, 29.7603
0.4025, 30.047
0.401883, 30.2505
0.400288, 30.779
0.4, 30.8751
0.398707, 31.331
0.3974, 31.7947
0.397138, 31.898
0.395581, 32.5145
0.3949, 32.7856
0.394036, 33.1601
0.392504, 33.8286
0.3924, 33.8739
0.390983, 34.5467
0.3899, 35.064
0.389474, 35.2914
0.387976, 36.0943
0.3875, 36.3509
0.38649, 36.9116
0.385016, 37.7357
0.385, 37.7444
0.383552, 38.676
0.3827, 39.2276
0.3821, 39.6029
0.380658, 40.5089
0.3803, 40.7353
0.379228, 41.3834
0.378, 42.1301
0.377808, 42.2246
0.376399, 42.921
0.3757, 43.2683
0.375, 43.4082
0.373612, 43.6873
0.3734, 43.73
0.372233, 43.4171
0.3712, 43.1383
0.370865, 42.8869
0.369507, 41.8616
0.369, 41.4767
0.368159, 40.4466
0.366821, 38.7973
0.3668, 38.7714
0.365492, 36.5475
0.3647, 35.1924
0.364173, 34.3115
0.362864, 32.1105
